Symbol,Model,MAE,MSE,R2
KO,GRU,0.014567001606335117,0.00040518295625,0.9087662377214207
WMT,GRU,0.0147309319284434,0.0004118604851460667,0.712456400906803
KO,LSTM,0.014755350802868534,0.0004051916945492833,0.9087642701462614
WMT,LSTM,0.014834574589297414,0.0004128092521483,0.7117940118494278
WMT,RNN,0.0184730417046024,0.0005811618289386667,0.594257351759924
KO,RNN,0.025363852002525136,0.0015783289335568336,0.6446126755818664
GOOG,RNN,0.02937611218188033,0.00154047238714285,0.6640693685219908
GOOG,LSTM,0.029602180663017234,0.0017054759721404833,0.6280870562345254
TSM,LSTM,0.03298882522337903,0.00194056820618235,0.9157331488140329
TSM,GRU,0.03454092528312328,0.0021073344507006836,0.908491524291433
WMT,CNN,0.03719510397207098,0.0019970911933168832,-0.39428473998896935
TSM,RNN,0.037592457371361285,0.0025353643357954,0.8899048389507622
KO,CNN,0.03892823802037887,0.002280820908833367,0.48643478362869436
AMD,LSTM,0.04475698650333384,0.0036359664311962,0.8773113187587871
GOOG,CNN,0.04522125647542638,0.0031584666720963005,0.31123354594660574
AMD,GRU,0.05152451849267602,0.004877232993092934,0.8354271703680615
GOOG,GRU,0.05176284805243463,0.0077967897779370006,-0.7002450257881511
AMD,RNN,0.05478873373409476,0.00542649265322265,0.8168934614806175
TSM,CNN,0.06997529424649239,0.008366792007757183,0.6366820734383689
AMD,CNN,0.1062816220681584,0.018133755646114767,0.3881113568366364
